gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3418863179	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Martes	Martes foina		SPECIES	Martes foina (Erxleben, 1777)	Martes foina Erxleben, 1777		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	46.625151	14.633813							2016-07-24T00:00:00	24	7	2016	5218887	5218887	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:13885				CC_BY_4_0					2023-01-25T09:13:42.056Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863178	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Squamata		Anguidae	Anguis	Anguis fragilis		SPECIES	Anguis fragilis Linnaeus, 1758	Anguis fragilis Linnaeus, 1758		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	48.18238	16.501261							2016-07-24T00:00:00	24	7	2016	2468095	2468095	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:13887				CC_BY_4_0					2023-01-25T09:13:42.056Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863177	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Mammalia	Rodentia	Muridae				FAMILY	Muridae	Muridae Illiger, 1811		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	48.443123	15.711095							2020-08-30T00:00:00	30	8	2020	5510		OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:263802				CC_BY_4_0					2023-01-25T09:13:42.055Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863176	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Mammalia	Erinaceomorpha	Erinaceidae	Erinaceus			GENUS	Erinaceus Linnaeus, 1758	Erinaceus Linnaeus, 1758		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	47.739287	16.498332							2015-08-13T00:00:00	13	8	2015	8216553		OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:2696				CC_BY_4_0					2023-01-25T09:13:42.054Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863175	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Aves	Columbiformes	Columbidae	Streptopelia	Streptopelia decaocto		SPECIES	Streptopelia decaocto (Frivaldszky, 1838)	Streptopelia decaocto Frivaldszky, 1838		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	48.393485	16.106522							2019-04-24T00:00:00	24	4	2019	2495696	2495696	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:91378				CC_BY_4_0					2023-01-25T09:13:42.055Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863174	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Mammalia	Erinaceomorpha	Erinaceidae	Erinaceus			GENUS	Erinaceus Linnaeus, 1758	Erinaceus Linnaeus, 1758		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	48.425117	16.173802							2019-10-04T00:00:00	4	10	2019	8216553		OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:154683				CC_BY_4_0					2023-01-25T09:13:42.054Z		CONTINENT_DERIVED_FROM_COORDINATES
3418863173	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	Bufo bufo		SPECIES	Bufo bufo (Linnaeus, 1758)	Bufo bufo Linnaeus, 1758		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	47.179088	13.443199							2015-08-16T00:00:00	16	8	2015	5217160	5217160	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:2699				CC_BY_4_0					2023-01-25T09:13:42.055Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863172	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes		SPECIES	Vulpes vulpes (Linnaeus, 1758)	Vulpes vulpes Linnaeus, 1758		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	48.546852	15.357384							2015-08-16T00:00:00	16	8	2015	5219243	5219243	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:2697				CC_BY_4_0					2023-01-25T09:13:42.055Z		CONTINENT_DERIVED_FROM_COORDINATES
3418863171	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Sciurus	Sciurus carolinensis		SPECIES	Sciurus carolinensis Gmelin, 1788	Sciurus carolinensis Gmelin, 1788		CA	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	45.109561	-67.090563							2018-03-30T00:00:00	30	3	2018	5219681	5219681	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:25864				CC_BY_4_0					2023-01-25T09:13:42.055Z		CONTINENT_DERIVED_FROM_COORDINATES
3418863170	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Mammalia	Erinaceomorpha	Erinaceidae	Erinaceus			GENUS	Erinaceus Linnaeus, 1758	Erinaceus Linnaeus, 1758		DE	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	53.404049	10.408725							2019-09-06T00:00:00	6	9	2019	8216553		OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:190325				CC_BY_4_0					2023-01-25T09:13:42.054Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863169	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Aves	Passeriformes	Turdidae	Turdus	Turdus merula		SPECIES	Turdus merula Linnaeus, 1758	Turdus merula Linnaeus, 1758		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	48.421762	16.174062							2019-10-04T00:00:00	4	10	2019	2490719	2490719	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:154684				CC_BY_4_0					2023-01-25T09:13:42.055Z		CONTINENT_DERIVED_FROM_COORDINATES
3418863168	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufotes	Bufotes viridis		SPECIES	Bufotes viridis (Laurenti, 1768)	Bufotes viridis Laurenti, 1768		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	48.429702	16.16135							2020-06-30T00:00:00	30	6	2020	9529916	9529916	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:238801				CC_BY_4_0					2023-01-25T09:13:42.054Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
